"Plan 9 From Outer Space", "Unclassified"
"Poltergeist II", "Unclassified"
"Reading Rainbow", "TV Show"
"Rendlesham UFO Incident", "Audio Tape"
"Repo Man", "Unclassified"
"Road to Perdition", "Unclassified"
"Schwarzkopf, Norman", "General"
"Shaolin Executioner", "Unclassified"
"Shivers", "Unclassified"
"Slacker", "Unclassified"
"Ten Tigers Of Kwangtung", "Unclassified"
"Testament of Orpheus", "Unclassified"
"Thirteenth Floor, The", "Unclassified"
"Wall Street", "Unclassified"
"War Of The Worlds", "Radio Broadcast"
"WarGames", "Unclassified"
"WarGames", "Unclassified"
"Woodstock", "Documentary"
"Young Frankenstein", "Unclassified"
"Bukowski, Charles", "Author"
"Christine", "Unclassified"
"Cité des Enfants Perdus, La", "Unclassified"
"Divorce Court", "TV Series"
"Fractured Leghorn, A", "Cartoon"
"Jones, Alex", "Radio Host"
"Land of the Lost", "TV Series"
"Star Trek: Deep Space Nine", "TV Series"
"Supermarket Sweep", "TV Show"
"Carny", "Unclassified"
"Cyclone", "Pinball Machine"
"Hoffa", "Unclassified"
"Iron Helix, The", "CD ROM Game"
"Mega Math System", "Infomercial"
"Messenger: The Story of Joan of Arc, The", "Unclassified"
"Breaking It", "Unclassified"
"Devil in Ms. Dare, The", "Unclassified"
"Female Trouble", "Unclassified"
"Gomer Pyle, U.S.M.C.", "TV Series"
"Hotel Room", "TV Series"
"Lord Of The Flies", "Unclassified"
"Moon 44", "Unclassified"
"Rebecca", "Unclassified"
"Timecop", "Unclassified"
"Tracy I Love You", "Unclassified"
"Alka-Seltzer", "Commercial"
"Chaplin", "Unclassified"
"Lenny", "Unclassified"
"Prison", "Unclassified"
"Star Trek: Nemesis", "Unclassified"
"Stephen King's It", "Unclassified"
"13th Warrior, The", "Unclassified"
"All in the Family", "TV Series"
"Andy Warhol's Dracula", "Unclassified"
"Andy Warhol's Heat", "Unclassified"
"Desperate Living", "Unclassified"
"Devil's Own, The", "Unclassified"
"Fright Night Part II", "Unclassified"
"Frontline", "TV Series"
"Glengarry Glen Ross", "Unclassified"
"Hearts of Darkness", "Documentary"
"Helter Skelter Murders, The", "Unclassified"
"Honecker, Erich", "Politican"
"Ipcress File, The", "Unclassified"
"Kite", "Animation"
"Law & Order: Special Victims Unit", "Unclassified"
"Lovelorn Leghorn", "Cartoon"
"Punkt 7", "TV Show"
"Sega Dreamcast", "Game Console"
"Sentinel, The", "Unclassified"
"Shaolin And Wu Tang", "Unclassified"
"Smell of Honey, a Taste of Brine, A!", "Unclassified"
"Spaceballs", "Unclassified"
"Third Man, The", "Unclassified"
"Tito, Josip Broz", "Dictator"
"Uncle Buck", "Unclassified"
"Waco: The Rules of Engagement", "Unclassified"
"When a Stranger Calls", "Unclassified"
"2000 Maniacs", "Unclassified"
"83 Hours 'Til Dawn", "Unclassified"
"Abbott & Costello", "Comedians"
"Brady Bunch, The", "TV Series"
"Can't Stop the Music", "Unclassified"
"Dragon's Lair", "Video Game"
"Fabeltjeskrant, De", "TV Series"
"Firesign Theatre", "Comedians"
"Good Morning, Vietnam", "Unclassified"
"Joseph Campbell and the Power of Myth", "Unclassified"
"Kentucky Fried Movie, The", "Unclassified"
"Knight Rider", "TV Series"
"Scales of Justice", "Radio Show"
"Tagesschau", "German News Show"
"Top Gun", "Unclassified"
"Trumpton", "Unclassified"
"United States Senate", "Congress"
"World Trade Center Attack", "News Cast"
"Assassins", "Unclassified"
"Basket Case", "Unclassified"
"Betrayed", "Unclassified"
"Breakfast at Tiffany's", "Unclassified"
"Chapman, Mark", "Killer"
"Cleopatra Jones", "Unclassified"
"Conquest of the Planet of the Apes", "Unclassified"
"Cotton Club, The", "Unclassified"
"Daughter of Horror", "Unclassified"
"Dead Poets Society", "Unclassified"
"Extreme Measures", "Unclassified"
"Fagan, Myron C.", "Author"
"Fearless Vampire Killers, The", "Unclassified"
"Firm, The", "Unclassified"
"Genscher, Hans Dietrich", "Politican"
"Goebbels, Joseph", "Minister"
"Hagen, Nina", "Singer"
"Halloween 4", "Unclassified"
"Hallucination Generation", "Unclassified"
"Haunted, The", "Unclassified"
"Innocent Blood", "Unclassified"
"Keep, The", "Unclassified"
"Kinder, Kader, Kommandeure", "Unclassified"
"Life of King Henry the Fifth", "Play"
"Mulholland Dr.", "Unclassified"
"Murder By Death", "Unclassified"
"Nader, Ralph", "Presidential Candidate"
"Name That Tune", "TV Show"
"Robotech", "TV Series"
"Romeo Is Bleeding", "Unclassified"
"Serial Killers", "Documentary"
"Sjunde Inseglet, Det", "Unclassified"
"Sleepers", "Unclassified"
"Veronica", "TV Channel"
"West Side Story", "Unclassified"
"Young Ones, The", "TV Series"
"3x3 Eyes", "Unclassified"
